ibge7;Município;Proporção da população atendida pela Estratégia de Saúde da Família;Cobertura vacinal contra poliomielite em menores de 1 ano;Cobertura vacinal de tríplice viral da população de 1 ano de idade;Cobertura vacinal de febre amarela em menores de 1 ano
3144375;Natalândia;100;104,17;108,33;102,08
3144409;Natércia;100;78,57;102,38;88,1
3144508;Nazareno;100;113,1;120,24;96,43
3144607;Nepomuceno;63,23;92,07;95,86;88,28
3144656;Ninheira;100;106,38;122,34;112,77
3144672;Nova Belém;100;109,43;111,32;86,79
3144706;Nova Era;58,97;89,13;95,65;87,39
3144805;Nova Lima;74,75;73,85;83,94;77,57
3144904;Nova Módica;100;147,06;132,35;132,35
3145000;Nova Ponte;63,69;133,52;135,23;136,93
3145059;Nova Porteirinha;100;108,91;124,75;89,11
3145109;Nova Resende;92,24;77,87;83,2;83,61
